Date,Title,Download,Download Link
18-12-2024,Establishment of the Public Debt Management Office,Download,https://www.treasury.gov.lk/api/file/1f4a438a-98b1-45df-80a0-3d91c0e33459
18-12-2024,Removal of Temporary Suspension on Importation of Motor Vehicles – Stage I,Download,https://www.treasury.gov.lk/api/file/413ccb47-960c-409f-b770-35ded724a309
18-12-2024,Sri Lanka Announces Final Results of the Invitation to Exchange in Respect of its International Sovereign Bonds,Download,https://www.treasury.gov.lk/api/file/8717eef6-89f9-4903-bcb3-3787bde1c90f
13-12-2024,SRI LANKA ANNOUNCES THE SUCCESSFUL EXPIRATION OF ITS CONSENT SOLICITATION AND EXCHANGE OFFER RELATED TO ITS INTERNATIONAL SOVEREIGN BONDS,Download,https://www.treasury.gov.lk/api/file/a96d4a52-a637-408c-9fd0-5a726ea5b526
05-12-2024,Supplementary Estimates-2024,Download,https://www.treasury.gov.lk/api/file/e5013dd3-5713-457e-8d05-bc605dc02c02
05-12-2024,Vote on Account-2025,Download,https://www.treasury.gov.lk/api/file/a082bf27-b91b-4851-9a86-c5ac1f26bea1
30-11-2024,අර්තාපල් හා ලොකු ළූණු සදහා වන බදු සංශෝධන,Download,https://www.treasury.gov.lk/api/file/35f9948d-c690-4a33-9480-c02bf3b24c8c
26-11-2024,Sri Lanka Announces the Launch of International Sovereign Bonds Exchange Following Cabinet of Ministers Approval,Download,https://www.treasury.gov.lk/api/file/fec13de3-8b7f-40a5-878a-d73dfbfd752a
09-11-2024,සීමාසහිත ශ්‍රී ලංකා ත්‍රිපෝෂ සමාගම සම්බන්ධයෙන් නව රජයේ ස්ථාවරය,Download,https://www.treasury.gov.lk/api/file/93e3bc91-a843-4b3f-9a4f-d301774ef83a
18-10-2024,රජය විසින් භාණ්ඩ වර්ග 05 ක් සදහා අළුතින් විශේෂ වෙළඳ භාණ්ඩ බදු පනවා ඇති බවට සිදුකරන අසත්‍ය මාධ්‍ය ප්‍රචාරණයන් පිලිබඳවයි,Download,https://www.treasury.gov.lk/api/file/53e12ad5-d5ef-4d36-b875-6c8706d4260c
04-10-2024,Sri Lanka announces successful completion of the OCC and IMF consultation process,Download,https://www.treasury.gov.lk/api/file/41209cc3-2384-421e-9404-d1843bf2176e
04-10-2024,Sri Lanka’s International Sovereign Bonds Restructuring – Frequently Asked Questions,Download,https://www.treasury.gov.lk/api/file/19600b87-2a77-45a2-b317-2a110e1bf2ad
04-10-2024,Appointment of Citi as Dealer Manager for Sri Lanka’s Proposed Sovereign Bond Exchange,Download,https://www.treasury.gov.lk/api/file/ca6844a6-1990-4c0f-9f71-c970e5beef47
19-09-2024,SRI LANKA REACHES DEBT RESTRUCTURING AGREEMENTS IN PRINCIPLE WITH EXTERNAL CREDITORS ON APPROXIMATELY US$ 17.5 BN OF SOVEREIGN DEBT,Download,https://www.treasury.gov.lk/api/file/16dc614c-d9a9-47ff-94d6-aab0811e62ba
13-09-2024,Successful conclusion of the Treasury Bond auction held on 12th September 2024,Download,https://www.treasury.gov.lk/api/file/9de6e713-ec93-4d40-8d28-e43b29baa845
13-09-2024,Cabinet Approval for Adjustment to the Personal Income Tax Structure,Download,https://www.treasury.gov.lk/api/file/4f7b7cea-7aea-4560-93f2-402ef4c8298f
12-09-2024,Clarification on Sri Lanka's External Debt Service Payments in the Recent Past,Download,https://www.treasury.gov.lk/api/file/6c2d7cfd-0885-4103-803f-87aaa5364223
10-09-2024,Fiscal Consideration of the Proposed Adjustments to the Public Sector Salary Structure,Download,https://www.treasury.gov.lk/api/file/b05ffb10-d24e-4afe-9b80-09567636f923
05-09-2024,Clarifications on Debt Restructuring and the Debt Sustainability Analysis,Download,https://www.treasury.gov.lk/api/file/a5ac69ab-b046-49e6-aaa1-9e45bca68567
02-09-2024,Clarification on the News Articles on Allegedly Unaccounted Government Borrowings for Project Loans between 2015 and 2022,Download,https://www.treasury.gov.lk/api/file/6af9baf9-1b8e-42c6-a541-7e613ae5746a
